Date,GSPC.Adjusted
01-12-2006,1416.42
01-11-2006,1388.64
01-10-2006,1363.38
01-09-2006,1317.74
01-08-2006,1287.15
01-07-2006,1260.24
01-06-2006,1253.17
01-05-2006,1290.01
01-04-2006,1302.17
01-03-2006,1293.74
01-02-2006,1276.65
01-01-2006,1278.73
01-12-2005,1262.07
01-11-2005,1237.37
01-10-2005,1191.96
01-09-2005,1225.92
01-08-2005,1224.27
01-07-2005,1222.24
01-06-2005,1202.25
01-05-2005,1178.28
01-04-2005,1164.43
01-03-2005,1194.9
01-02-2005,1199.63
01-01-2005,1181.41
01-12-2004,1199.21
01-11-2004,1168.94
01-10-2004,1117.21
01-09-2004,1117.66
01-08-2004,1088.94
01-07-2004,1105.85
01-06-2004,1132.76
01-05-2004,1102.78
01-04-2004,1133.36
01-03-2004,1123.98
01-02-2004,1143.36
01-01-2004,1132.52
01-12-2003,1080.64
01-11-2003,1049.9
01-10-2003,1038.73
01-09-2003,1019.44
01-08-2003,989.53
01-07-2003,992.54
01-06-2003,988
01-05-2003,935.96
01-04-2003,890.03
01-03-2003,846.63
01-02-2003,837.03
01-01-2003,895.84
01-12-2002,899.18
01-11-2002,909.93
01-10-2002,854.63
01-09-2002,867.81
01-08-2002,912.55
01-07-2002,903.59
01-06-2002,1014.02
01-05-2002,1079.25
01-04-2002,1111.93
01-03-2002,1153.79
01-02-2002,1100.67
01-01-2002,1140.21
01-12-2001,1144.93
01-11-2001,1129.68
01-10-2001,1076.59
01-09-2001,1044.64
01-08-2001,1178.5
01-07-2001,1204.45
01-06-2001,1238.71
01-05-2001,1270.37
01-04-2001,1189.84
01-03-2001,1185.85
01-02-2001,1305.75
01-01-2001,1335.63
01-12-2000,1330.93
01-11-2000,1378.04
01-10-2000,1390.14
01-09-2000,1468.05
01-08-2000,1485.46
01-07-2000,1473
01-06-2000,1461.96
01-05-2000,1418.48
01-04-2000,1461.36
01-03-2000,1442.21
01-02-2000,1388.87
01-01-2000,1425.59
01-12-1999,1428.68
01-11-1999,1391
01-10-1999,1300.01
01-09-1999,1318.17
01-08-1999,1327.49
01-07-1999,1380.99
01-06-1999,1322.55
01-05-1999,1332.07
01-04-1999,1334.76
01-03-1999,1281.66
01-02-1999,1246.58
01-01-1999,1248.77
01-12-1998,1190.05
01-11-1998,1144.43
01-10-1998,1032.47
01-09-1998,1020.64
01-08-1998,1074.62
01-07-1998,1156.58
01-06-1998,1108.39
01-05-1998,1108.42
01-04-1998,1112.2
01-03-1998,1076.83
01-02-1998,1023.74
01-01-1998,963.36
01-12-1997,962.37
01-11-1997,938.92
01-10-1997,951.16
01-09-1997,937.02
01-08-1997,927.24
01-07-1997,925.29
01-06-1997,876.29
01-05-1997,833.09
01-04-1997,763.93
01-03-1997,792.16
01-02-1997,798.39
01-01-1997,766.22
01-12-1996,743.25
01-11-1996,735.67
01-10-1996,701.46
01-09-1996,674.88
01-08-1996,662.68
01-07-1996,644.07
01-06-1996,668.5
01-05-1996,661.23
01-04-1996,647.17
01-03-1996,647.07
01-02-1996,649.54
01-01-1996,614.42
01-12-1995,614.57
01-11-1995,595.53
01-10-1995,582.92
01-09-1995,578.77
01-08-1995,559.11
01-07-1995,557.37
01-06-1995,539.35
01-05-1995,523.81
01-04-1995,507.91
01-03-1995,493.15
01-02-1995,481.92
01-01-1995,465.25
01-12-1994,455.19
01-11-1994,461.01
01-10-1994,463.81
01-09-1994,466.96
01-08-1994,464.24
01-07-1994,451.4
01-06-1994,454.83
01-05-1994,450.9
01-04-1994,447.23
01-03-1994,463.81
01-02-1994,471.58
01-01-1994,472.99
01-12-1993,465.95
01-11-1993,462.89
01-10-1993,463.9
01-09-1993,459.24
01-08-1993,454.13
01-07-1993,447.29
01-06-1993,448.06
01-05-1993,445.25
01-04-1993,443.08
01-03-1993,450.16
01-02-1993,441.7
01-01-1993,435.23
01-12-1992,435.64
01-11-1992,422.84
01-10-1992,412.5
01-09-1992,418.48
01-08-1992,417.93
01-07-1992,415.05
01-06-1992,408.27
01-05-1992,414.81
01-04-1992,407.41
01-03-1992,407.36
01-02-1992,412.56
01-01-1992,416.08
01-12-1991,388.51
01-11-1991,385.92
01-10-1991,386.88
01-09-1991,387.2
01-08-1991,389.4
01-07-1991,380.23
01-06-1991,378.29
01-05-1991,377.99
01-04-1991,379.68
01-03-1991,372.28
01-02-1991,362.26
01-01-1991,325.49
01-12-1990,328.75
01-11-1990,315.29
01-10-1990,307.12
01-09-1990,315.41
01-08-1990,330.75
01-07-1990,360.03
01-06-1990,360.39
01-05-1990,350.25
01-04-1990,338.18
01-03-1990,338.46
01-02-1990,330.45
01-01-1990,339.97
01-12-1989,348.6
01-11-1989,340.2
01-10-1989,347.4
01-09-1989,347.3
01-08-1989,346.6
01-07-1989,331.9
01-06-1989,323.7
01-05-1989,313.9
01-04-1989,302.3
01-03-1989,292.7
01-02-1989,294
01-01-1989,285.4
01-12-1988,276.5
01-11-1988,271
01-10-1988,277.4
01-09-1988,268
01-08-1988,263.7
01-07-1988,269.1
01-06-1988,270.7
01-05-1988,256.1
01-04-1988,262.6
01-03-1988,265.7
01-02-1988,258.1
01-01-1988,250.5
01-12-1987,241
01-11-1987,245
01-10-1987,280.2
01-09-1987,318.7
01-08-1987,329.4
01-07-1987,310.1
01-06-1987,301.4
01-05-1987,289.1
01-04-1987,289.3
01-03-1987,292.5
01-02-1987,280.9
01-01-1987,264.5
01-12-1986,248.6
01-11-1986,245.1
01-10-1986,237.4
01-09-1986,238.3
01-08-1986,245
01-07-1986,240.2
01-06-1986,245.3
01-05-1986,238.5
01-04-1986,238
01-03-1986,232.3
01-02-1986,219.4
01-01-1986,208.2
01-12-1985,207.3
01-11-1985,197.5
01-10-1985,186.2
01-09-1985,184.1
01-08-1985,188.3
01-07-1985,192.5
01-06-1985,188.9
01-05-1985,184.9
01-04-1985,180.6
01-03-1985,179.4
01-02-1985,180.9
01-01-1985,171.6
01-12-1984,164.5
01-11-1984,166.3
01-10-1984,164.8
01-09-1984,166.1
01-08-1984,164.4
01-07-1984,151.1
01-06-1984,153.1
01-05-1984,156.6
01-04-1984,157.6
01-03-1984,157.4
01-02-1984,157.3
01-01-1984,166.4
01-12-1983,164.4
01-11-1983,165.2
01-10-1983,167.7
01-09-1983,167.2
01-08-1983,162.4
01-07-1983,167
01-06-1983,166.4
01-05-1983,164.1
01-04-1983,157.7
01-03-1983,151.9
01-02-1983,146.8
01-01-1983,144.3
01-12-1982,139.4
01-11-1982,138.1
01-10-1982,132.7
01-09-1982,122.4
01-08-1982,109.7
01-07-1982,109.4
01-06-1982,109.7
01-05-1982,116.4
01-04-1982,116.3
01-03-1982,110.8
01-02-1982,114.5
01-01-1982,117.3
01-12-1981,123.8
01-11-1981,122.9
01-10-1981,119.8
01-09-1981,118.3
01-08-1981,129.6
01-07-1981,129.1
01-06-1981,132.3
01-05-1981,131.7
01-04-1981,134.4
01-03-1981,133.2
01-02-1981,128.4
01-01-1981,133
01-12-1980,133.5
01-11-1980,135.7
01-10-1980,130.2
01-09-1980,126.5
01-08-1980,123.5
01-07-1980,119.8
01-06-1980,114.6
01-05-1980,107.7
01-04-1980,103
01-03-1980,104.7
01-02-1980,115.3
01-01-1980,110.9
01-12-1979,107.8
01-11-1979,103.7
01-10-1979,104.5
01-09-1979,108.6
01-08-1979,107.4
01-07-1979,102.7
01-06-1979,101.7
01-05-1979,99.73
01-04-1979,102.1
01-03-1979,100.1
01-02-1979,98.23
01-01-1979,99.71
01-12-1978,96.11
01-11-1978,94.71
01-10-1978,100.6
01-09-1978,103.9
01-08-1978,103.9
01-07-1978,97.19
01-06-1978,97.66
01-05-1978,97.41
01-04-1978,92.71
01-03-1978,88.82
01-02-1978,88.98
01-01-1978,90.25
01-12-1977,93.82
01-11-1977,94.28
01-10-1977,93.74
01-09-1977,96.23
01-08-1977,97.75
01-07-1977,100.2
01-06-1977,99.29
01-05-1977,98.76
01-04-1977,99.05
01-03-1977,100.6
01-02-1977,101
01-01-1977,103.8
01-12-1976,104.7
01-11-1976,101.2
01-10-1976,101.9
01-09-1976,105.5
01-08-1976,103.3
01-07-1976,104.2
01-06-1976,101.8
01-05-1976,101.2
01-04-1976,101.9
01-03-1976,101.1
01-02-1976,100.6
01-01-1976,96.86
01-12-1975,88.7
01-11-1975,90.07
01-10-1975,88.57
01-09-1975,84.67
01-08-1975,85.71
01-07-1975,92.49
01-06-1975,92.4
01-05-1975,90.1
01-04-1975,84.72
01-03-1975,83.78
01-02-1975,80.1
01-01-1975,72.56
01-12-1974,67.07
01-11-1974,71.74
01-10-1974,69.44
01-09-1974,68.12
01-08-1974,76.03
01-07-1974,79.31
